                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4857,                0.84431,                 1.3615,                0.82001,                0.76997,                0.84735,                0.44226,                 1.6097,                0.88126,                 1.4248,             0.00055426,             0.00055426,             0.00055426
                      2,                  1.494,                0.83488,                 1.3703,                0.77436,                 0.7979,                0.83418,                0.43104,                 1.5759,                0.87518,                 1.4109,                  0.001,                  0.001,                  0.001
                      3,                 1.5087,                0.85014,                 1.3839,                0.80482,                0.79769,                0.84701,                0.43752,                 1.5916,                0.90693,                 1.4199,              0.0013358,              0.0013358,              0.0013358
                      4,                 1.5004,                0.83065,                 1.3811,                0.77369,                0.80719,                0.82657,                0.43157,                 1.6061,                0.87117,                  1.449,              0.0011719,              0.0011719,              0.0011719
                      5,                 1.4889,                0.81729,                 1.3638,                0.79758,                0.82513,                0.85605,                0.44548,                 1.5977,                0.87446,                 1.4294,              0.0010069,              0.0010069,              0.0010069
                      6,                 1.4428,                0.78908,                  1.333,                0.79197,                0.81838,                0.84841,                0.44575,                 1.5925,                0.86836,                 1.4313,             0.00084184,             0.00084184,             0.00084184
                      7,                 1.4144,                0.77133,                 1.3159,                0.80549,                0.83971,                0.86428,                0.46838,                 1.5568,                0.82746,                 1.4144,              0.0006768,              0.0006768,              0.0006768
                      8,                  1.366,                0.73243,                 1.2822,                0.84604,                0.81838,                0.86874,                0.47093,                 1.5512,                0.81926,                 1.4044,             0.00051177,             0.00051177,             0.00051177
                      9,                 1.3367,                0.70962,                 1.2575,                0.83984,                0.81411,                0.86414,                0.46298,                 1.5656,                0.80174,                  1.426,             0.00034674,             0.00034674,             0.00034674
                     10,                 1.3057,                0.68909,                 1.2442,                0.80914,                0.84207,                0.86867,                0.46885,                 1.5416,                0.79354,                 1.4113,              0.0001817,              0.0001817,              0.0001817
